ID,Title,Content,Permalink,Categories,Tags,"Resource Author","Organizational Author","Attributed Date",Link,"Alignment: JTF","Alignment: Regenerative Economies","Alignment: Democratic Systems","BIPOC Author","Added By",Notes,"Attributed Date (v2)",Status
1752,"ELI Pro Bono Clearinghouse"," ELI’s Pro Bono Clearinghouse connect attorneys and communities to solve pressing environmental problems.",https://thechisholmlegacyproject.org/resource-detail/eli-pro-bono-clearinghouse/,Resources>Other,Legal,,"Environmental Law Institute",2/22/2022,https://www.eli.org/probono,Yes,,Yes,,Cara,,,publish
1753,"Centering Equity to Address Extreme Heat","Extreme heat is the deadliest weather-related event in the United States and, until now, has been one of the least talked about. Although extreme heat has tremendous implications for people everywhere, its impacts are especially felt in urban areas both small and large, where denser concentrations of pavement, buildings, and other materials retain heat. Its impact is not felt equally across communities. The legacy of racist housing policies and historic disinvestment in low-income neighborhoods and communities of color leaves low-income populations and people of color both more likely to live in hotter neighborhoods and less likely to have access to resources to cope with extreme temperatures. As such, extreme heat cannot be addressed without considering equity. Without an intentional focus on equity, inequities of the past may be overlooked or made worse, and well-meaning plans may have unintended consequences for the most vulnerable community members. ",https://thechisholmlegacyproject.org/resource-detail/centering-equity-to-address-extreme-heat/,Resources>Publication,"Extreme Heat","Rebecca Marx, Jorge Morales-Burnett","The Urban Institute",02/16/22,https://www.urban.org/research/publication/centering-equity-address-extreme-heat?&utm_source=urban_EA&utm_medium=email&utm_campaign=centering_equity_extreme_heat&utm_term=METRO&utm_content=climate_stakeholders,,,,,Cara,,02/16/22,publish
1754,"Climate Justice for All Project Grants","The Climate Justice for All Grant Program (CJA grants) is an initiative that supports organizations or grassroots groups run by and primarily serving frontline communities in developing community solutions to environmental injustices in the US and Puerto Rico. Selected organizations receive a one-time grant of up to $20,000, access to our curated library of resources, and opportunities to help amplify and spread their message in partnership with Climate Reality and peer organizations.",https://thechisholmlegacyproject.org/resource-detail/climate-justice-for-all-project-grants/,"Resources>Funding Opportunity",Organizing,,"Climate Reality Project",2/22/2022,https://www.climaterealityproject.org/apply/grant,Yes,Yes,Yes,,Cara,,,publish
1755,"Rhythms of the Land","Rhythms of the Land is a valentine to generations of Black farmers in the United States from the enslavement period to the present, whose intense love of the land and dedication to community enabled them to survive against overwhelming odds.  They struggled from the beginning without support or recognition, and have been written out of the dominant narratives of US agriculture.",https://thechisholmlegacyproject.org/resource-detail/rhythms-of-the-land/,Resources>Documentary,History,"Gail P. Myers",,2022,https://www.rhythmsoftheland.com/,,,,Yes,Cara,,2022,publish
1756,"Climate Advocacy Lab State Level Data","The State Level Data set by the Climate Advocacy Lab collects and consolidates state-level data into one location.",https://thechisholmlegacyproject.org/resource-detail/climate-advocacy-lab-state-level-data/,Resources>Data,"Energy Justice|Fossil Fuels|Organizing|Policy",,"Climate Advocacy Lab",2/22/2022,https://climateadvocacylab.org/state-level-data,,,,,Cara,,,publish
1757,"The Sacrifice Zone","Located in one of the country’s most industrialized zip codes, the Ironbound Community Corporation (ICC) in Newark, New Jersey, has become the de facto watchdog in resisting polluting facilities. By prioritizing the lived experience of community members, the ICC has demanded that decision makers recognize local residents’ voices and acknowledge the cumulative impact of concentrating so many facilities near homes and schools. This, combined with scientific and legal expertise, has elevated the ICC to one of the most effective grassroots organizing groups in the country.",https://thechisholmlegacyproject.org/resource-detail/the-sacrifice-zone/,Resources>Documentary,Organizing,,"Climate Advocacy Lab",2/22/2022,https://thesacrificezone.org/icc,Yes,Yes,Yes,,Cara,"Film is not available for free",,publish
1758,"Insights from 76 Climate Persuasion Tests","Insights from 76 Climate Persuasion Tests provides a meta-analysis of over 76 different individual studies from the last 10 years to share insights into how to reduce political polarization of climate change.",https://thechisholmlegacyproject.org/resource-detail/insights-from-76-climate-persuasion-tests/,Resources>Publication,Organizing,"Justin Rolfe-Redding, Climate Advocacy Lab, Jacob Rode, Caitlin Benedict","Climate Advocacy Lab",01/20/22,https://climateadvocacylab.org/resource/insights-76-climate-persuasion-tests-0,,,,,Cara,,01/20/22,publish
1759,"Training for Impact","Training for Impact is a power building and organizing program designed to give you the skills you need to build the durable people-power necessary to win a just, equitable energy transition and a healthy and safe future for our families and communities. This training is designed for emerging leaders in the climate movement: organizers and advocates with a minimum of one year of organizing experience who are looking to scale their work and/or deepen their ability to build the power necessary to win.",https://thechisholmlegacyproject.org/resource-detail/training-for-impact/,Resources>Fellowship,Organizing,,"Climate Advocacy Lab",2/22/2022,https://www.climateadvocacylab.org/resource/training-impact-2022-spring-cohort,,,,,Cara,,,publish
1760,"Rachel Carson Council Fellowship","The&nbsp;RCC Fellowship Program&nbsp;is designed to identify students with a passion for environmental education, organizing and advocacy and provide them with training in Washington, DC, mentorship from RCC environmental staff, and financial support to do the valuable work they care about and become life-long advocates for the environment. RCC Fellows become leaders and active participants in the RCC’s national campus program with over 5,000 active faculty, students, staff and administrators at 56 campuses. As part of the RCC team, Fellows also help build RCC’s network of active students and faculty and have the opportunity to publish and speak on behalf of a respected national organization.",https://thechisholmlegacyproject.org/resource-detail/rachel-carson-council-fellowship/,Resources>Fellowship,Coaching|Organizing,,"Rachel Carson Council",2/22/2022,https://rachelcarsoncouncil.org/campus-program/fellowship/,,,,,Cara,,,publish
1761,"Catalyst Award","Each year, the Rachel’s Network Catalyst Award provides women environmental leaders of color with: a $10,000 prize; networking opportunities; and public recognition within the environment, philanthropic, and women’s leadership communities.",https://thechisholmlegacyproject.org/resource-detail/catalyst-award/,Resources>Fellowship,Coaching,,"Rachel's Network",2/22/2022,https://rachelsnetwork.org/catalyst/,,,,,Cara,,,publish
